1,50SZ,500 SHAW ZENTRUM,,Mandaluyong,Metro Manila,NCR - METRO MANILA,NC000,386
2,6AAB,6750 AYALA AVENUE BLDG.,"6750 Ayala Avenue, Makati",Makati,Metro Manila,NCR - METRO MANILA,NC000,108
3,67AA,6780 AYALA AVENUE BLDG.,,Makati,Metro Manila,NCR - METRO MANILA,NC000,147
4,68AA,6788 AYALA AVENUE BLDG.,,Makati,Metro Manila,NCR - METRO MANILA,NC000,171
5,ADGI,A. D. GOTHONG IT CENTER,,Mandaue,Cebu,REGION 7 - CENTRAL VISAYAS,07000,210
6,ACTC,AAI CORPORATE & TECHHOLOGY CENTER,,,,,,285
7,ACFB,ACTIVE FUN BUILDING,,,,,,286
8,AGAP,AG & P SPECIAL ECONOMIC ZONE,,Bauan,Batangas,REGION 4 - SOUTHERN TAGALOG,04000,204
9,AGEZ,AGROTEX GENSAN ECONOMIC ZONE,,Gen. Santos,South Cotabato,REGION 12 - CENTRAL MINDANAO,12000,273
10,AGIB,AGUSTIN I BUILDING,,,,,,287
11,AJMR,AJMR AGRO-INDUSTRIAL ECONOMIC ZONE,,Davao City,Davao,REGION 11 - SOUTHERN MINDANAO,11000,256
12,AKER,AKEAN RESORTS,,,,,,288
13,AQBI,ALDP E-PARK,,,,,,463
14,AMIB,ALI MALL IT BUILDING,,,,,,289
15,ASEO,ASEANA ONE,,Parañaque,Metro Manila,NCR - METRO MANILA,NC000,290
16,ATKB,ATKIMSON BUILDING,,,,,,291
17,ALBS,ABANAO SQUARE,,,,,,421
18,ATBU,ABREEZA CORPORATE CENTER,,Davao City,Davao,REGION 11 - SOUTHERN MINDANAO,11000,427
19,ANWH,AEON CENTRE,Aeon Centre,Muntinlupa,Metro Manila,NCR - METRO MANILA,NC000,426
20,AIES,AGUS INDUSTRIAL ESTATE - SEZ,"Bulac, Sta. Maria, Bulacan",,,,,76
21,ALLI,"ALASKA LAND, INC.",,Pasig,Metro Manila,NCR - METRO MANILA,NC000,414
22,AGIP,ALCOS GLOBAL IT PARK,"QC, NCR",Quezon City,Metro Manila,NCR - METRO MANILA,NC000,232
23,AITP,ALLEGIS I.T. PARK,"Carmelray Industrial Park II, Barangay Tulo, Calamba, Laguna",Calamba,Laguna,REGION 4 - SOUTHERN TAGALOG,04000,74
24,ALLC,ALLEGRO CENTER,"PASONG TAMO EXTENSION, MAKATI CITY",Makati,Metro Manila,NCR - METRO MANILA,NC000,154
25,ALSG,ALPHALAND SOUTHGATE TOWERS,,Makati,Metro Manila,NCR - METRO MANILA,NC000,258
26,AMIM,AMIGO MALL,Iloilo city,Iloilo City,Iloilo,REGION 6 - WESTERN VISAYAS,06000,240
27,ATSE,AMKOR TECHNOLOGY - SEZ,"Brgy. Cupang, Muntinlupa City",Muntinlupa,Metro Manila,NCR - METRO MANILA,NC000,38
28,AIPA,ANGELES INDUSTRIAL PARK - SEZ,"Calibutbut, Bacolor, Pampanga",Bacolor,Pampanga,REGION 3 - CENTRAL LUZON,03000,46
29,ANSC,ANSON'S CENTRE,"Ortigas, Pasig City",Pasig,Metro Manila,NCR - METRO MANILA,NC000,197
30,ARAC,ARANETA CYBERPARK,"Araneta Center along EDSA and P.Tuazon, Quezon City",Quezon City,Metro Manila,NCR - METRO MANILA,NC000,167
31,AEIT,ARCENAS ESTATE I.T. BLDG.,"Banawa Hills, Barangay Labangon, Cebu City",Cebu City,Cebu,REGION 7 - CENTRAL VISAYAS,07000,70
32,AGSE,ASAHI GLASS SPECIAL ECONOMIC ZONE,,Pasig,Metro Manila,NCR - METRO MANILA,NC000,149
33,AUJQ,ASEANA TWO,,Parañaque,Metro Manila,NCR - METRO MANILA,NC000,448
34,ATIP,ASIA TOWN I.T. PARK,"Lahug and Apas, Cebu City",,,,,58
35,ASSB,ASIAN STAR BUILDING,,Muntinlupa,Metro Manila,NCR - METRO MANILA,NC000,202
36,ANPT,AYALA NORTH POINT TECHNOHUB,,Talisay City,Negros Occidental,REGION 6 - WESTERN VISAYAS,06000,275
37,BALB,BA LEPANTO BUILDING,,Makati,Metro Manila,NCR - METRO MANILA,NC000,271
38,BACS,BACOLOD CITY SEZ,,,,,,292
39,BEIC,BENEDICTO I.T. CENTER,,Mandaue,Cebu,REGION 7 - CENTRAL VISAYAS,07000,293
40,BPIB,BPI BUENDIA CENTER,,Makati,Metro Manila,NCR - METRO MANILA,NC000,139
41,BTTC,BTTC CENTRE,,San Juan,Metro Manila,NCR - METRO MANILA,NC000,405
42,BTPA,BACOLOD I.T. PARK,Address,,,,,113
43,BNPE,BAGONG NAYONG PILIPINO - ENTERTAINMENT CITY MANILA,,,,,,272
44,BCEZ,BAGUIO CITY ECONOMIC ZONE,"Loakan Road, Baguio City",Baguio,Benguet,CAR - CORDILLERA ADMINISTRATIVE REGION,CA000,13
45,BALO,BALO-I AGRO INDUSTRIAL ECONOMIC ZONE,,Balo-i,Lanao del Norte,REGION 10 - NORTHERN MINDANAO,10000,235
46,BEZO,BATAAN ECONOMIC ZONE,"Nassco, Mariveles, Bataan",Mariveles,Bataan,REGION 3 - CENTRAL LUZON,03000,14
47,BITC,BATANGAN INFORMATION TECHNOLOGY CENTER,"Kumintang Ibaba, Batangas City",,,,,85
48,BRCT,BATANGAS RACING CIRCUIT TOURISM ESTATE,,Rosario,Batangas,REGION 4 - SOUTHERN TAGALOG,04000,396
49,BGMB,BELLE GRANDE MANILA BAY,,Parañaque,Metro Manila,NCR - METRO MANILA,NC000,413
50,BITP,BIGFOOT INFORMATION TECHNOLOGY PARK,"Bgy. Mactan, Lapu-Lapu City, islad of Mactan",Lapu-Lapu City,Cebu,REGION 7 - CENTRAL VISAYAS,07000,82
51,BWMI,BLUE WAVE MARIKINA IT CENTER,,Marikina,Metro Manila,NCR - METRO MANILA,NC000,220
52,BPIC,BONAVENTURE PLAZA IT CENTER,"Ortigas Avenue corner Connecticut St., Greenhills, San Juan",,,,,89
53,BETE,BORACAY ECOVILLAGE TOURISM ECOZONE,,Malay,Aklan,REGION 6 - WESTERN VISAYAS,06000,140
54,BZYA,BUKIDNON AGRO-RESOURCES EXPORT ZONE,,,,,,451
55,BUCT,BURGUNDY CORPORATE TOWER,"252 Sen. Gil Puyat Avenue, Makati City",Makati,Metro Manila,NCR - METRO MANILA,NC000,168
56,CADE,CAMP DAVID OF THE EAST,,,,,,294
57,CACM,CASH AND CARRY MALL,,,,,,295
58,CABE,CAVITE BIOFUELS ECOZONE,,Magallanes,Cavite,REGION 4 - SOUTHERN TAGALOG,04000,296
59,CMIC,CB MALL IT CENTER,,,,,,297
60,CBIP,CBP-IT PARK,,Cebu City,Cebu,REGION 7 - CENTRAL VISAYAS,07000,276
61,CENC,CENTURY CITY,,Makati,Metro Manila,NCR - METRO MANILA,NC000,298
62,CAIC,CIIF AGRO-INDUSTRIAL PARK - CAGAYAN,,,,,,417
63,CAID,CIIF AGRO-INDUSTRIAL PARK - DAVAO,,Davao City,Davao,REGION 11 - SOUTHERN MINDANAO,11000,257
64,CAIL,CIIF AGRO-INDUSTRIAL PARK - LEGAZPI,,,,,,406
65,CIAP,CIIF AGRO-INDUSTRIAL PARK - SEZ,"Brgy. Kiwalan, Iligan City, Province of Lanao del Norte",Iligan,Lanao del Norte,REGION 10 - NORTHERN MINDANAO,10000,75
66,CLFR,CLUB FILIPINIANA RESORT,,,,,,299
67,CPIP,CALAMBA PREMIERE INTERNATIONAL PARK - SEZ,"Batino, Parian & Barandal, Calamba, Laguna",Calamba,Laguna,REGION 4 - SOUTHERN TAGALOG,04000,28
68,CSIT,CAMARINES SUR INFORMATION TECHNOLOGY PARK,"Capitol Complex, Cadlan Pili, Camarines Sur",Pili,Camarines Sur,REGION 5 - BICOL,05000,83
69,CSZL,CANDELARIA AGRI SPECIAL ECONOMIC ZONE,,Candelaria,Quezon,REGION 4 - SOUTHERN TAGALOG,04000,434
70,CIP1,CARMELRAY INDUSTRIAL PARK I - SEZ,"Canlubang, Calamba, Laguna",Calamba,Laguna,REGION 4 - SOUTHERN TAGALOG,04000,29
71,CIP2,CARMELRAY INDUSTRIAL PARK II - SEZ,"Punta & Tulo, Calamba, Laguna",Calamba,Laguna,REGION 4 - SOUTHERN TAGALOG,04000,30
72,CIBP,CARMELRAY INTERNATIONAL BUSINESS PARK,"CANLUBANG, CALAMBA CITY LAGUNA",Calamba,Laguna,REGION 4 - SOUTHERN TAGALOG,04000,241
73,CCGI,CARMEN CEBU GUM INDUSTRIAL ZONE,,Carmen,Cebu,REGION 7 - CENTRAL VISAYAS,07000,397
74,CEZO,CAVITE ECONOMIC ZONE,"Rosario, Cavite",Rosario,Cavite,REGION 4 - SOUTHERN TAGALOG,04000,19
75,CEZ2,CAVITE ECONOMIC ZONE II,,General Trias,Cavite,REGION 4 - SOUTHERN TAGALOG,04000,252
76,CEIT,CEBU I.T. PARK [FORMERLY ASIA TOWN],,Cebu City,Cebu,REGION 7 - CENTRAL VISAYAS,07000,383
77,CITT,CEBU I.T. TOWER,Cebu,Cebu City,Cebu,REGION 7 - CENTRAL VISAYAS,07000,198
78,CLIP,CEBU LIGHT INDUSTRIAL PARK - SEZ,"Basak, Lapu-Lapu City, Mactan, Cebu",Mactan,Cebu,REGION 7 - CENTRAL VISAYAS,07000,62
79,CSRP,CEBU SOUTH ROAD PROPERTIES,"SOUTH RECLAMATION PROJECT, CEBU CITY",Cebu City,Cebu,REGION 7 - CENTRAL VISAYAS,07000,221
80,CQWZ,CITYNET 1,,Mandaluyong,Metro Manila,NCR - METRO MANILA,NC000,456
81,CITP,CITYWALK INFORMATION TECHNOLOGY PARK,"Aseana Business Park, Bgy. Tambo, Paranaque City",,,,,90
82,CSEZ,CLARK SPECIAL ECONOMIC ZONE,,Angeles,Pampanga,REGION 3 - CENTRAL LUZON,03000,143
83,CLTI,CLARK TI SPECIAL ECONOMIC ZONE,,Angeles,Pampanga,REGION 3 - CENTRAL LUZON,03000,182
84,CAIP,COCOCHEM AGRO-INDUSTRIAL PARK - SEZ,"Aplaya & Danglayan, Bauan, Batangas",Bauan,Batangas,REGION 4 - SOUTHERN TAGALOG,04000,16
85,CITB,CONVERGYS I.T. BLDG.,,Makati,Metro Manila,NCR - METRO MANILA,NC000,118
86,CITC,CREATIVO IT CENTER,,Cebu City,Cebu,REGION 7 - CENTRAL VISAYAS,07000,244
87,C7IT,CROWN 7 I.T. CENTER,,Cebu City,Cebu,REGION 7 - CENTRAL VISAYAS,07000,389
88,CPB1,CYBER PARK BUILDING I,,Quezon City,Metro Manila,NCR - METRO MANILA,NC000,151
89,CYBA,CYBERSCAPE ALPHA,,Pasig,Metro Manila,NCR - METRO MANILA,NC000,418
90,CYBB,CYBERSCAPE BETA,,Pasig,Metro Manila,NCR - METRO MANILA,NC000,419
91,DAFA,DASOLAND: A FAMILY ADVENTURE AND LEISURE PARK,,,,,,408
92,DPIP,DBP IT PLAZA,,Dumaguete City,Negros Oriental,REGION 7 - CENTRAL VISAYAS,07000,134
93,DITC,DG3 I.T. CENTER,Cebu,Cebu City,Cebu,REGION 7 - CENTRAL VISAYAS,07000,237
94,DSEI,DMIA SPECIAL ECONOMIC ZONE I,,,,,,300
95,DSEZ,DMIA SPECIAL ECONOMIC ZONE II,,,,,,301
96,DPPB,DPC PLACE BUILDING,"2322 Chino Roces Avenue, Makati City",Makati,Metro Manila,NCR - METRO MANILA,NC000,3
97,DIPA,DAIICHI INDUSTRIAL PARK - SEZ,"Maguyam, Silang, Cavite",Silang,Cavite,REGION 4 - SOUTHERN TAGALOG,04000,20
98,DITP,DAMOSA IT PARK,Davao,Davao City,Davao,REGION 11 - SOUTHERN MINDANAO,11000,165
99,DIIT,DILIMAN I.T. BLDG.,"Commonwealth Avenue, Diliman Quezon City",Quezon City,Metro Manila,NCR - METRO MANILA,NC000,71
100,ESIT,E-SQUARE I.T. PARK,"Fort Bonifacio, Global City Taguig, Metro Manila",Taguig,Metro Manila,NCR - METRO MANILA,NC000,40
101,EAIE,ECOFUEL AGRO-INDUSTRIAL ECOZONE,,San Mariano,Isabela,REGION 2 - CAGAYAN VALLEY,02000,274
102,ECIC,EDSA CENTRAL I.T. CENTER,"EDSA corner United Street, Mandaluyong City",Mandaluyong,Metro Manila,NCR - METRO MANILA,NC000,80
103,ECI2,EDSA CENTRAL IT CENTER 2,,Mandaluyong,Metro Manila,NCR - METRO MANILA,NC000,175
104,EDGR,EDSA GRAND RESIDENCES,,,,,,302
105,EMDL,EMBARCADERO DE LEGAZPI,,Legaspi City,Albay,REGION 5 - BICOL,05000,303
106,EMIS,EMI - SEZ,"Brgy. Anabu II, Imus, Cavite",Imus,Cavite,REGION 4 - SOUTHERN TAGALOG,04000,61
107,EROS,EROS BUILDING,,Dumaguete City,Negros Oriental,REGION 7 - CENTRAL VISAYAS,07000,260
108,ECGB,EAST CYBER GATE BUILDING,,Mandaluyong,Metro Manila,NCR - METRO MANILA,NC000,141
109,EART,"EASTBAY ARTS, RECREATIONAL AND TOURISM ECONOMIC ZONE","San Roque, Angono & Darangan, Binangonan, Rizall",Binangonan,Rizal,REGION 4 - SOUTHERN TAGALOG,04000,78
110,ECCP,EASTWOOD CITY CYBERPARK,"E. Rodriguez Avenue, Bagumbayan, Quezon City",Quezon City,Metro Manila,NCR - METRO MANILA,NC000,39
111,ECOP,ECO PLAZA,,Makati,Metro Manila,NCR - METRO MANILA,NC000,233
112,ECOT,ECOTOWER,,Taguig,Metro Manila,NCR - METRO MANILA,NC000,1
113,EQMS,ESTANCIA MALL,,,,,,470
